GOLD,2014,2010,2006,2002,1998,1994,1992,1988,1984,1980,1976,1972,1968,1964,1960,1956,1952,1948,1936,1932,1928,1924
Australia (AUS),0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Austria (AUT),4,4,9,3,3,2,6,3,0,3,2,1,3,4,1,4,2,1,1,1,0,2
Belarus (BLR),5,1,0,0,0,0,,,,,,,,,,,,,,,,
Belgium (BEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bulgaria (BUL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Canada (CAN),10,14,7,7,1,3,2,0,2,0,1,0,1,1,2,0,1,2,0,1,1,1
China (CHN),3,5,2,2,6,0,0,0,0,0,,,,,,,,,,,,
Croatia (CRO),0,0,1,3,0,0,0,,,,,,,,,,,,,,,
Czech Republic (CZE),2,2,1,1,1,0,,,,,,,,,,,,,,,,
Czechoslovakia (TCH),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Denmark (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
East Germany (GDR),0,0,0,0,0,0,0,9,9,9,7,4,1,0,0,0,0,0,0,0,0,0
Estonia (EST),0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Finland (FIN),1,0,0,4,2,0,3,4,4,1,2,0,1,3,2,3,3,1,1,1,2,4
France (FRA),4,2,3,4,2,0,3,1,0,0,0,0,4,3,1,0,0,2,0,1,1,0
Germany (GER),8,10,11,12,12,9,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,
Great Britain (GBR),1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1
Hungary (HUN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy (ITA),0,1,5,4,2,7,4,2,2,0,1,2,4,0,0,1,1,1,0,0,0,0
Japan (JPN),1,0,1,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Kazakhstan (KAZ),0,0,0,0,0,1,,,,,,,,,,,,,,,,
Latvia (LAT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein (LIE),0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,
Luxembourg (LUX),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Netherlands (NED),8,4,3,3,5,0,1,3,0,1,1,4,3,1,0,0,0,0,0,0,0,
New Zealand (NZL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
North Korea (PRK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Norway (NOR),11,9,2,13,10,10,9,0,3,1,3,2,6,3,3,2,7,4,7,3,6,4
Poland (POL),4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Romania (ROU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Russia (RUS),11,3,8,5,9,11,,,,,,,,,,,,,,,,
Slovakia (SVK),1,1,0,0,0,0,,,,,,,,,,,,,,,,
Slovenia (SLO),2,0,0,0,0,0,0,,,,,,,,,,,,,,,
South Korea (KOR),3,6,6,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,
Soviet Union (URS),0,0,0,0,0,0,0,11,6,10,13,8,5,11,7,7,0,0,0,0,0,0
Spain (ESP),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
Sweden (SWE),2,5,7,0,0,2,1,4,4,3,0,1,3,3,3,2,0,4,2,1,2,1
Switzerland (SUI),6,6,5,3,2,3,1,5,2,1,1,4,0,0,2,3,0,3,1,0,0,2
Ukraine (UKR),1,0,0,0,0,1,,,,,,,,,,,,,,,,
Unified Team (EUN),0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States (USA),9,9,9,10,6,6,5,2,4,6,3,3,1,1,3,2,4,3,1,6,2,1
United Team of Germany (EUA),0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0
Uzbekistan (UZB),0,0,0,0,0,0,,,,,,,,,,,,,,,,
West Germany (FRG),0,0,0,0,0,0,0,2,2,0,2,3,2,0,0,0,0,0,0,0,0,0
Yugoslavia (YUG),0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SILVER,,,,,,,,,,,,,,,,,,,,,,
Australia (AUS),2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Austria (AUT),8,6,7,4,5,3,7,5,0,2,2,2,4,5,2,3,4,3,1,1,3,1
Belarus (BLR),0,1,1,0,0,2,,,,,,,,,,,,,,,,
