Host Country,Bump!,2014,2010,2006,2002,1998,1994,1992,1984,1988,1980,1976,1972,1968,1964,1960,1956,1952,1948,1936,1932,1928,1924
GOLD,,,,,,,,,,,,,,,,,,,,,,,
RUS,266.67%,11,3,,,,,,,,,,,,,,,,,,,,
CAN,100.00%,10,14,7,,,,,,,,,,,,,,,,,,,
ITA,25.00%,,1,5,4,,,,,,,,,,,,,,,,,,
USA,66.67%,,,9,10,6,,,,,,,,,,,,,,,,,
JAP,400.00%,,,,0,5,1,,,,,,,,,,,,,,,,
NOR,11.11%,,,,,10,10,9,,,,,,,,,,,,,,,
FRA,200.00%,,,,,,0,3,1,,,,,,,,,,,,,,
CAN,#DIV/0!,,,,,,,2,2,0,,,,,,,,,,,,,
YUG,#DIV/0!,,,,,,,,0,0,0,,,,,,,,,,,,
USA,100.00%,,,,,,,,,4,6,3,,,,,,,,,,,
AUT,100.00%,,,,,,,,,,3,2,1,,,,,,,,,,
JAP,#DIV/0!,,,,,,,,,,,0,1,0,,,,,,,,,
FRA,33.33%,,,,,,,,,,,,0,4,3,,,,,,,,
AUT,300.00%,,,,,,,,,,,,,3,4,1,,,,,,,
USA,50.00%,,,,,,,,,,,,,,1,3,2,,,,,,
ITA,0.00%,,,,,,,,,,,,,,,0,1,1,,,,,
NOR,75.00%,,,,,,,,,,,,,,,,2,7,4,,,,
SUI,200.00%,,,,,,,,,,,,,,,,,0,3,1,,,
GER,#DIV/0!,,,,,,,,,,,,,,,,,,0,3,0,,
USA,200.00%,,,,,,,,,,,,,,,,,,,1,6,2,
SUI,#DIV/0!,,,,,,,,,,,,,,,,,,,,0,0,0
FRA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SILVER,,,,,,,,,,,,,,,,,,,,,,,
RUS,80.00%,9,5,,,,,,,,,,,,,,,,,,,,
CAN,-30.00%,10,7,10,,,,,,,,,,,,,,,,,,,
ITA,-100.00%,,1,0,4,,,,,,,,,,,,,,,,,,
USA,333.33%,,,9,13,3,,,,,,,,,,,,,,,,,
JAP,-50.00%,,,,1,1,2,,,,,,,,,,,,,,,,
NOR,83.33%,,,,,10,11,6,,,,,,,,,,,,,,,
FRA,#DIV/0!,,,,,,1,5,0,,,,,,,,,,,,,,
CAN,100.00%,,,,,,,3,2,1,,,,,,,,,,,,,
YUG,#DIV/0!,,,,,,,,2,1,0,,,,,,,,,,,,
USA,33.33%,,,,,,,,,4,4,3,,,,,,,,,,,
AUT,0.00%,,,,,,,,,,2,2,2,,,,,,,,,,
JAP,#DIV/0!,,,,,,,,,,,0,1,0,,,,,,,,,
FRA,-25.00%,,,,,,,,,,,,1,3,4,,,,,,,,
AUT,150.00%,,,,,,,,,,,,,4,5,2,,,,,,,
USA,33.33%,,,,,,,,,,,,,,2,4,3,,,,,,
ITA,#DIV/0!,,,,,,,,,,,,,,,0,2,0,,,,,
NOR,0.00%,,,,,,,,,,,,,,,,1,3,3,,,,
SUI,100.00%,,,,,,,,,,,,,,,,,0,4,2,,,
GER,#DIV/0!,,,,,,,,,,,,,,,,,,0,3,0,,
USA,100.00%,,,,,,,,,,,,,,,,,,,0,4,2,
SUI,#DIV/0!,,,,,,,,,,,,,,,,,,,,1,0,0
FRA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BRONZE,,,,,,,,,,,,,,,,,,,,,,,
RUS,28.57%,9,7,,,,,,,,,,,,,,,,,,,,
CAN,-28.57%,5,5,7,,,,,,,,,,,,,,,,,,,
ITA,20.00%,,3,6,5,,,,,,,,,,,,,,,,,,
USA,175.00%,,,7,11,4,,,,,,,,,,,,,,,,,
JAP,100.00%,,,,1,4,2,,,,,,,,,,,,,,,,
NOR,0.00%,,,,,5,5,5,,,,,,,,,,,,,,,
FRA,0.00%,,,,,,4,1,1,,,,,,,,,,,,,,
CAN,200.00%,,,,,,,2,3,1,,,,,,,,,,,,,
YUG,#DIV/0!,,,,,,,,1,0,0,,,,,,,,,,,,
USA,-50.00%,,,,,,,,,0,2,4,,,,,,,,,,,
AUT,0.00%,,,,,,,,,,2,2,2,,,,,,,,,,
JAP,#DIV/0!,,,,,,,,,,,0,1,0,,,,,,,,,
FRA,#DIV/0!,,,,,,,,,,,,2,2,0,,,,,,,,
AUT,0.00%,,,,,,,,,,,,,4,3,3,,,,,,,
USA,50.00%,,,,,,,,,,,,,,4,3,2,,,,,,
ITA,-100.00%,,,,,,,,,,,,,,,1,0,1,,,,,
NOR,100.00%,,,,,,,,,,,,,,,,1,6,3,,,,
SUI,#DIV/0!,,,,,,,,,,,,,,,,,2,3,0,,,
GER,-100.00%,,,,,,,,,,,,,,,,,,0,0,2,,
USA,0.00%,,,,,,,,,,,,,,,,,,,3,2,2,
SUI,0.00%,,,,,,,,,,,,,,,,,,,,0,1,1
FRA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,,,,,,,,,
RUS,93.33%,29,15,,,,,,,,,,,,,,,,,,,,
CAN,8.33%,25,26,24,,,,,,,,,,,,,,,,,,,
ITA,-15.38%,,5,11,13,,,,,,,,,,,,,,,,,,
USA,161.54%,,,25,34,13,,,,,,,,,,,,,,,,,
JAP,100.00%,,,,2,10,5,,,,,,,,,,,,,,,,
NOR,30.00%,,,,,25,26,20,,,,,,,,,,,,,,,
FRA,350.00%,,,,,,5,9,2,,,,,,,,,,,,,,
CAN,25.00%,,,,,,,7,5,4,,,,,,,,,,,,,
YUG,#DIV/0!,,,,,,,,3,1,0,,,,,,,,,,,,
USA,20.00%,,,,,,,,,8,12,10,,,,,,,,,,,
AUT,20.00%,,,,,,,,,,7,6,5,,,,,,,,,,
JAP,#DIV/0!,,,,,,,,,,,0,3,0,,,,,,,,,
FRA,28.57%,,,,,,,,,,,,3,9,7,,,,,,,,
AUT,100.00%,,,,,,,,,,,,,11,12,6,,,,,,,
USA,42.86%,,,,,,,,,,,,,,7,10,7,,,,,,
ITA,50.00%,,,,,,,,,,,,,,,1,3,2,,,,,
NOR,60.00%,,,,,,,,,,,,,,,,4,16,10,,,,
SUI,233.33%,,,,,,,,,,,,,,,,,2,10,3,,,
GER,200.00%,,,,,,,,,,,,,,,,,,0,6,2,,
USA,100.00%,,,,,,,,,,,,,,,,,,,4,12,6,
SUI,-66.67%,,,,,,,,,,,,,,,,,,,,1,1,3
FRA,,,,,,,,,,,,,,,,,,,,,,,
