Year,Sport,Discipline,Gender,Event,Country,Medal
1924,Biathlon,Biathlon,Men,Military Patrol,FRA,Bronze
1924,Biathlon,Biathlon,Men,Military Patrol,SUI,Gold
1924,Biathlon,Biathlon,Men,Military Patrol,FIN,Silver
1924,Bobsleigh,Bobsleigh,Men,Four-Man,BEL,Bronze
1924,Bobsleigh,Bobsleigh,Men,Four-Man,SUI,Gold
1924,Bobsleigh,Bobsleigh,Men,Four-Man,GBR,Silver
1924,Curling,Curling,Men,Curling,FRA,Bronze
1924,Curling,Curling,Men,Curling,GBR,Gold
1924,Curling,Curling,Men,Curling,SWE,Silver
1924,Ice Hockey,Ice Hockey,Men,Ice Hockey,GBR,Bronze
1924,Ice Hockey,Ice Hockey,Men,Ice Hockey,CAN,Gold
1924,Ice Hockey,Ice Hockey,Men,Ice Hockey,USA,Silver
1924,Skating,Figure skating,Men,Individual,SUI,Bronze
1924,Skating,Figure skating,Men,Individual,SWE,Gold
1924,Skating,Figure skating,Men,Individual,AUT,Silver
1924,Skating,Figure skating,Women,Individual,GBR,Bronze
1924,Skating,Figure skating,Women,Individual,AUT,Gold
1924,Skating,Figure skating,Women,Individual,USA,Silver
1924,Skating,Figure skating,Men,Pairs,FRA,Bronze
1924,Skating,Figure skating,Men,Pairs,AUT,Gold
1924,Skating,Figure skating,Men,Pairs,FIN,Silver
1924,Skating,Figure skating,Women,Pairs,FRA,Bronze
1924,Skating,Figure skating,Women,Pairs,AUT,Gold
1924,Skating,Figure skating,Women,Pairs,FIN,Silver
1924,Skating,Speed skating,Men,10000M,NOR,Bronze
1924,Skating,Speed skating,Men,10000M,FIN,Gold
1924,Skating,Speed skating,Men,10000M,FIN,Silver
1924,Skating,Speed skating,Men,1500M,NOR,Bronze
1924,Skating,Speed skating,Men,1500M,FIN,Gold
1924,Skating,Speed skating,Men,1500M,NOR,Silver
1924,Skating,Speed skating,Men,5000M,NOR,Bronze
1924,Skating,Speed skating,Men,5000M,FIN,Gold
1924,Skating,Speed skating,Men,5000M,FIN,Silver
1924,Skating,Speed skating,Men,500M,FIN,Bronze
1924,Skating,Speed skating,Men,500M,NOR,Bronze
1924,Skating,Speed skating,Men,500M,USA,Gold
1924,Skating,Speed skating,Men,500M,NOR,Silver
1924,Skating,Speed skating,Men,Combined (4 Events),FIN,Bronze
1924,Skating,Speed skating,Men,Combined (4 Events),FIN,Gold
1924,Skating,Speed skating,Men,Combined (4 Events),NOR,Silver
1924,Skiing,Cross Country Skiing,Men,18KM,FIN,Bronze
1924,Skiing,Cross Country Skiing,Men,18KM,NOR,Gold
1924,Skiing,Cross Country Skiing,Men,18KM,NOR,Silver
1924,Skiing,Cross Country Skiing,Men,50KM,NOR,Bronze
1924,Skiing,Cross Country Skiing,Men,50KM,NOR,Gold
1924,Skiing,Cross Country Skiing,Men,50KM,NOR,Silver
1924,Skiing,Nordic Combined,Men,Individual,NOR,Bronze
1924,Skiing,Nordic Combined,Men,Individual,NOR,Gold
1924,Skiing,Nordic Combined,Men,Individual,NOR,Silver
1924,Skiing,Ski Jumping,Men,K90 Individual (70M),USA,Bronze
1924,Skiing,Ski Jumping,Men,K90 Individual (70M),NOR,Gold
1924,Skiing,Ski Jumping,Men,K90 Individual (70M),NOR,Silver
1928,Bobsleigh,Bobsleigh,Men,Five-Man,GER,Bronze
1928,Bobsleigh,Bobsleigh,Men,Five-Man,USA,Gold
1928,Bobsleigh,Bobsleigh,Men,Five-Man,USA,Silver
1928,Bobsleigh,Skeleton,Men,Individual,GBR,Bronze
1928,Bobsleigh,Skeleton,Men,Individual,USA,Gold
1928,Bobsleigh,Skeleton,Men,Individual,USA,Silver
1928,Ice Hockey,Ice Hockey,Men,Ice Hockey,SUI,Bronze
1928,Ice Hockey,Ice Hockey,Men,Ice Hockey,CAN,Gold
1928,Ice Hockey,Ice Hockey,Men,Ice Hockey,SWE,Silver
1928,Skating,Figure skating,Men,Individual,BEL,Bronze
1928,Skating,Figure skating,Men,Individual,SWE,Gold
1928,Skating,Figure skating,Men,Individual,AUT,Silver
1928,Skating,Figure skating,Women,Individual,USA,Bronze
1928,Skating,Figure skating,Women,Individual,NOR,Gold
1928,Skating,Figure skating,Women,Individual,AUT,Silver
1928,Skating,Figure skating,Men,Pairs,AUT,Bronze
1928,Skating,Figure skating,Men,Pairs,FRA,Gold
1928,Skating,Figure skating,Men,Pairs,AUT,Silver
1928,Skating,Figure skating,Women,Pairs,AUT,Bronze
1928,Skating,Figure skating,Women,Pairs,FRA,Gold
1928,Skating,Figure skating,Women,Pairs,AUT,Silver
1928,Skating,Speed skating,Men,1500M,NOR,Bronze
1928,Skating,Speed skating,Men,1500M,FIN,Gold
1928,Skating,Speed skating,Men,1500M,NOR,Silver
1928,Skating,Speed skating,Men,5000M,NOR,Bronze
1928,Skating,Speed skating,Men,5000M,NOR,Gold
1928,Skating,Speed skating,Men,5000M,FIN,Silver
1928,Skating,Speed skating,Men,500M,FIN,Bronze
1928,Skating,Speed skating,Men,500M,NOR,Bronze
1928,Skating,Speed skating,Men,500M,USA,Bronze
1928,Skating,Speed skating,Men,500M,FIN,Gold
1928,Skating,Speed skating,Men,500M,NOR,Gold
1928,Skiing,Cross Country Skiing,Men,18KM,NOR,Bronze
1928,Skiing,Cross Country Skiing,Men,18KM,NOR,Gold
1928,Skiing,Cross Country Skiing,Men,18KM,NOR,Silver
1928,Skiing,Cross Country Skiing,Men,50KM,SWE,Bronze
1928,Skiing,Cross Country Skiing,Men,50KM,SWE,Gold
