Year,Sport,Discipline,Gender,Event,Country,Medal,,Individual Medal Breakdown,,,Total Metal Breakdown,
1980,Biathlon,Biathlon,Men,10KM,URS,Bronze,,URS,2,,URS,4
1984,Biathlon,Biathlon,Men,10KM,GDR,Bronze,,GDR,1,,GDR,3
1988,Biathlon,Biathlon,Men,10KM,URS,Bronze,,FIN,2,,FIN,4
1992,Biathlon,Biathlon,Men,10KM,FIN,Bronze,,RUS,1,,RUS,2
1994,Biathlon,Biathlon,Men,10KM,RUS,Bronze,,AUT,1,,AUT,2
1998,Biathlon,Biathlon,Men,10KM,FIN,Bronze,,NOR,1,,NOR,2
2002,Biathlon,Biathlon,Men,10KM,AUT,Bronze,,CRO,1,,CRO,2
2006,Biathlon,Biathlon,Men,10KM,NOR,Bronze,,CZE,1,,CZE,8
2010,Biathlon,Biathlon,Men,10KM,CRO,Bronze,,,,,GER,1
2014,Biathlon,Biathlon,Men,10KM,CZE,Bronze,,,,,FRA,1
1980,Biathlon,Biathlon,Men,10KM,GDR,Gold,,GDR,2,,FRG,3
1984,Biathlon,Biathlon,Men,10KM,NOR,Gold,,NOR,4,,,
1988,Biathlon,Biathlon,Men,10KM,GDR,Gold,,GER,2,,,
1992,Biathlon,Biathlon,Men,10KM,GER,Gold,,RUS,2,,,
1994,Biathlon,Biathlon,Men,10KM,RUS,Gold,,FRA,1,,,
1998,Biathlon,Biathlon,Men,10KM,NOR,Gold,,,,,,
2002,Biathlon,Biathlon,Men,10KM,NOR,Gold,,,,,,
2006,Biathlon,Biathlon,Men,10KM,GER,Gold,,,,,,
2010,Biathlon,Biathlon,Men,10KM,FRA,Gold,,,,,,
2014,Biathlon,Biathlon,Men,10KM,NOR,Gold,,,,,,
1980,Biathlon,Biathlon,Men,10KM,URS,Silver,,,,,,
1984,Biathlon,Biathlon,Men,10KM,FRG,Silver,,,,,,
1988,Biathlon,Biathlon,Men,10KM,URS,Silver,,,,,,
1992,Biathlon,Biathlon,Men,10KM,GER,Silver,,,,,,
1994,Biathlon,Biathlon,Men,10KM,GER,Silver,,,,,,
1998,Biathlon,Biathlon,Men,10KM,NOR,Silver,,,,,,
2002,Biathlon,Biathlon,Men,10KM,GER,Silver,,,,,,
2006,Biathlon,Biathlon,Men,10KM,NOR,Silver,,,,,,
2010,Biathlon,Biathlon,Men,10KM,NOR,Silver,,,,,,
2014,Biathlon,Biathlon,Men,10KM,AUT,Silver,,,,,,
2002,Biathlon,Biathlon,Men,12.5Km Pursuit,GER,Bronze,,,,,GER,2
2006,Biathlon,Biathlon,Men,12.5Km Pursuit,GER,Bronze,,,,,FRA,2
2010,Biathlon,Biathlon,Men,12.5Km Pursuit,FRA,Bronze,,,,,NOR,5
2014,Biathlon,Biathlon,Men,12.5Km Pursuit,FRA,Bronze,,,,,SWE,5
2002,Biathlon,Biathlon,Men,12.5Km Pursuit,NOR,Gold,,,,,AUT,2
2006,Biathlon,Biathlon,Men,12.5Km Pursuit,FRA,Gold,,,,,CZE,5
2010,Biathlon,Biathlon,Men,12.5Km Pursuit,SWE,Gold,,,,,,
2014,Biathlon,Biathlon,Men,12.5Km Pursuit,FRA,Gold,,,,,,
2002,Biathlon,Biathlon,Men,12.5Km Pursuit,FRA,Silver,,,,,,
2006,Biathlon,Biathlon,Men,12.5Km Pursuit,NOR,Silver,,,,,,
2010,Biathlon,Biathlon,Men,12.5Km Pursuit,AUT,Silver,,,,,,
2014,Biathlon,Biathlon,Men,12.5Km Pursuit,CZE,Silver,,,,,,
2006,Biathlon,Biathlon,Men,15KM Mass Start,NOR,Bronze,,,,,NOR,2
2010,Biathlon,Biathlon,Men,15KM Mass Start,SVK,Bronze,,,,,SVK,1
2014,Biathlon,Biathlon,Men,15KM Mass Start,CZE,Bronze,,,,,CZE,1
2006,Biathlon,Biathlon,Men,15KM Mass Start,GER,Gold,,,,,GER,1
2010,Biathlon,Biathlon,Men,15KM Mass Start,RUS,Gold,,,,,RUS,1
2014,Biathlon,Biathlon,Men,15KM Mass Start,NOR,Gold,,,,,POL,2
2006,Biathlon,Biathlon,Men,15KM Mass Start,POL,Silver,,,,,FRA,1
2010,Biathlon,Biathlon,Men,15KM Mass Start,FRA,Silver,,,,,,
2014,Biathlon,Biathlon,Men,15KM Mass Start,FRA,Silver,,,,,,
1960,Biathlon,Biathlon,Men,20KM,URS,Bronze,,,,,URS,9
1964,Biathlon,Biathlon,Men,20KM,NOR,Bronze,,,,,NOR,10
1968,Biathlon,Biathlon,Men,20KM,URS,Bronze,,,,,SWE,9
1972,Biathlon,Biathlon,Men,20KM,SWE,Bronze,,,,,GDR,3
1976,Biathlon,Biathlon,Men,20KM,URS,Bronze,,,,,ITA,9
1980,Biathlon,Biathlon,Men,20KM,GDR,Bronze,,,,,GER,5
1984,Biathlon,Biathlon,Men,20KM,NOR,Bronze,,,,,BLR,10
1988,Biathlon,Biathlon,Men,20KM,ITA,Bronze,,,,,RUS,2
1992,Biathlon,Biathlon,Men,20KM,SWE,Bronze,,,,,FRG,3
1994,Biathlon,Biathlon,Men,20KM,GER,Bronze,,,,,EUN,6
1998,Biathlon,Biathlon,Men,20KM,BLR,Bronze,,,,,FRA,2
2002,Biathlon,Biathlon,Men,20KM,RUS,Bronze,,,,,FIN,3
2006,Biathlon,Biathlon,Men,20KM,NOR,Bronze,,,,,,
2014,Biathlon,Biathlon,Men,20KM,RUS,Bronze,,,,,,
1960,Biathlon,Biathlon,Men,20KM,SWE,Gold,,,,,,
1964,Biathlon,Biathlon,Men,20KM,URS,Gold,,,,,,
1968,Biathlon,Biathlon,Men,20KM,NOR,Gold,,,,,,
1972,Biathlon,Biathlon,Men,20KM,NOR,Gold,,,,,,
1976,Biathlon,Biathlon,Men,20KM,URS,Gold,,,,,,
1980,Biathlon,Biathlon,Men,20KM,URS,Gold,,,,,,
1984,Biathlon,Biathlon,Men,20KM,FRG,Gold,,,,,,
1988,Biathlon,Biathlon,Men,20KM,GDR,Gold,,,,,,
1992,Biathlon,Biathlon,Men,20KM,EUN,Gold,,,,,,
1994,Biathlon,Biathlon,Men,20KM,RUS,Gold,,,,,,
1998,Biathlon,Biathlon,Men,20KM,NOR,Gold,,,,,,
2002,Biathlon,Biathlon,Men,20KM,NOR,Gold,,,,,,
2006,Biathlon,Biathlon,Men,20KM,GER,Gold,,,,,,
2010,Biathlon,Biathlon,Men,20KM,NOR,Gold,,,,,,
2014,Biathlon,Biathlon,Men,20KM,FRA,Gold,,,,,,
1960,Biathlon,Biathlon,Men,20KM,FIN,Silver,,,,,,
1964,Biathlon,Biathlon,Men,20KM,URS,Silver,,,,,,
1968,Biathlon,Biathlon,Men,20KM,URS,Silver,,,,,,
1972,Biathlon,Biathlon,Men,20KM,GDR,Silver,,,,,,
1976,Biathlon,Biathlon,Men,20KM,FIN,Silver,,,,,,
1980,Biathlon,Biathlon,Men,20KM,GDR,Silver,,,,,,
1984,Biathlon,Biathlon,Men,20KM,GDR,Silver,,,,,,
1988,Biathlon,Biathlon,Men,20KM,URS,Silver,,,,,,
1992,Biathlon,Biathlon,Men,20KM,GER,Silver,,,,,,
1994,Biathlon,Biathlon,Men,20KM,GER,Silver,,,,,,
1998,Biathlon,Biathlon,Men,20KM,ITA,Silver,,,,,,
2002,Biathlon,Biathlon,Men,20KM,GER,Silver,,,,,,
2006,Biathlon,Biathlon,Men,20KM,NOR,Silver,,,,,,
2010,Biathlon,Biathlon,Men,20KM,BLR,Silver,,,,,,
2010,Biathlon,Biathlon,Men,20KM,NOR,Silver,,,,,,
2014,Biathlon,Biathlon,Men,20KM,GER,Silver,,,,,,
1968,Biathlon,Biathlon,Men,4X7.5KM Relay,SWE,Bronze,,,,,SWE,2
1972,Biathlon,Biathlon,Men,4X7.5KM Relay,GDR,Bronze,,,,,GDR,3
1976,Biathlon,Biathlon,Men,4X7.5KM Relay,GDR,Bronze,,,,,FRG,3
1980,Biathlon,Biathlon,Men,4X7.5KM Relay,FRG,Bronze,,,,,ITA,3
1984,Biathlon,Biathlon,Men,4X7.5KM Relay,FRG,Bronze,,,,,FRA,3
1988,Biathlon,Biathlon,Men,4X7.5KM Relay,ITA,Bronze,,,,,RUS,1
1992,Biathlon,Biathlon,Men,4X7.5KM Relay,SWE,Bronze,,,,,AUT,2
1994,Biathlon,Biathlon,Men,4X7.5KM Relay,FRA,Bronze,,,,,URS,3
1998,Biathlon,Biathlon,Men,4X7.5KM Relay,RUS,Bronze,,,,,GER,5
2002,Biathlon,Biathlon,Men,4X7.5KM Relay,FRA,Bronze,,,,,NOR,3
2006,Biathlon,Biathlon,Men,4X7.5KM Relay,FRA,Bronze,,,,,FIN,3
2010,Biathlon,Biathlon,Men,4X7.5KM Relay,RUS,Bronze,,,,,EUN,5
2014,Biathlon,Biathlon,Men,4X7.5KM Relay,AUT,Bronze,,,,,,
1968,Biathlon,Biathlon,Men,4X7.5KM Relay,URS,Gold,,,,,,
1972,Biathlon,Biathlon,Men,4X7.5KM Relay,URS,Gold,,,,,,
1976,Biathlon,Biathlon,Men,4X7.5KM Relay,URS,Gold,,,,,,
1980,Biathlon,Biathlon,Men,4X7.5KM Relay,URS,Gold,,,,,,
1984,Biathlon,Biathlon,Men,4X7.5KM Relay,URS,Gold,,,,,,
